sep=;
"Empresa";"Placa";"Nome";"Perfil";"Entrada";"Saída";"Observações";"Turno";"Autor";"Criado em"
"Empresa 21";"IYE0O00";"Pessoa 1100";"Prestador";"20:20";"22:40";"Registro de teste 1100";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 20";"HVX9J91";"Pessoa 1099";"Fornecedor";"19:13";"21:29";"Registro de teste 1099";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 19";"GSQ8E92";"Pessoa 1098";"Visitante";"18:06";"20:18";"Registro de teste 1098";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 18";"FPJ7Z93";"Pessoa 1097";"Agregado";"17:59";"19:07";"Registro de teste 1097";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 17";"EMC6U94";"Pessoa 1096";"Colaborador";"16:52";"18:56";"Registro de teste 1096";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 16";"DJV5P95";"Pessoa 1095";"Parceiro";"15:45";"17:45";"Registro de teste 1095";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 15";"CGO4K96";"Pessoa 1094";"Prestador";"14:38";"16:34";"Registro de teste 1094";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 14";"BDH3F97";"Pessoa 1093";"Fornecedor";"13:31";"15:23";"Registro de teste 1093";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 13";"AAA2A98";"Pessoa 1092";"Visitante";"12:24";"14:12";"Registro de teste 1092";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 12";"ZXT1V99";"Pessoa 1091";"Agregado";"11:17";"13:01";"Registro de teste 1091";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 11";"YUM0Q90";"Pessoa 1090";"Colaborador";"10:10";"12:50";"Registro de teste 1090";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 10";"XRF9L81";"Pessoa 1089";"Parceiro";"09:03";"11:39";"Registro de teste 1089";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 09";"WOY8G82";"Pessoa 1088";"Prestador";"08:56";"10:28";"Registro de teste 1088";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 08";"VLR7B83";"Pessoa 1087";"Fornecedor";"07:49";"09:17";"Registro de teste 1087";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 07";"UIK6W84";"Pessoa 1086";"Visitante";"06:42";"08:06";"Registro de teste 1086";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 06";"TFD5R85";"Pessoa 1085";"Agregado";"05:35";"07:55";"Registro de teste 1085";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 05";"SCW4M86";"Pessoa 1084";"Colaborador";"04:28";"06:44";"Registro de teste 1084";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 04";"RZP3H87";"Pessoa 1083";"Parceiro";"03:21";"05:33";"Registro de teste 1083";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 03";"QWI2C88";"Pessoa 1082";"Prestador";"02:14";"04:22";"Registro de teste 1082";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 02";"PTB1X89";"Pessoa 1081";"Fornecedor";"01:07";"03:11";"Registro de teste 1081";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
